year,sex,level_of_school,age,no_of_principals
2010,F,PRIMARY,35 - 39,7
2010,MF,PRIMARY,40 - 44,45
2010,F,PRIMARY,40 - 44,29
2010,MF,PRIMARY,45 - 49,31
2010,F,PRIMARY,45 - 49,23
2010,MF,PRIMARY,50 - 54,53
2010,F,PRIMARY,50 - 54,40
2010,MF,PRIMARY,55 & ABOVE,32
2010,F,PRIMARY,55 & ABOVE,27
2010,MF,SECONDARY,30 - 34,0
2010,F,SECONDARY,30 - 34,0
2010,MF,SECONDARY,35 - 39,16
2010,F,SECONDARY,35 - 39,3
2010,MF,SECONDARY,40 - 44,45
2010,F,SECONDARY,40 - 44,22
2010,MF,SECONDARY,45 - 49,29
2010,F,SECONDARY,45 - 49,18
2010,MF,SECONDARY,50 - 54,46
2010,F,SECONDARY,50 - 54,29
2010,MF,SECONDARY,55 & ABOVE,30
2010,F,SECONDARY,55 & ABOVE,11
2011,MF,PRE-UNIVERSITY,30 - 34,0
2011,F,PRE-UNIVERSITY,30 - 34,0
2011,MF,PRE-UNIVERSITY,35 - 39,0
2011,F,PRE-UNIVERSITY,35 - 39,0
2011,MF,PRE-UNIVERSITY,40 - 44,1
2011,F,PRE-UNIVERSITY,40 - 44,0
2011,MF,PRE-UNIVERSITY,45 - 49,2
2011,F,PRE-UNIVERSITY,45 - 49,2
2011,MF,PRE-UNIVERSITY,50 - 54,8
2011,F,PRE-UNIVERSITY,50 - 54,4
2011,MF,PRE-UNIVERSITY,55 & ABOVE,9
2011,F,PRE-UNIVERSITY,55 & ABOVE,7
2011,MF,PRIMARY,30 - 34,0
2011,F,PRIMARY,30 - 34,0
2011,MF,PRIMARY,35 - 39,13
2011,F,PRIMARY,35 - 39,9
2011,MF,PRIMARY,40 - 44,51
2011,F,PRIMARY,40 - 44,36
2011,MF,PRIMARY,45 - 49,32
2011,F,PRIMARY,45 - 49,25
2011,MF,PRIMARY,50 - 54,57
2011,F,PRIMARY,50 - 54,41
2011,MF,PRIMARY,55 & ABOVE,28
2011,F,PRIMARY,55 & ABOVE,26
2011,MF,SECONDARY,30 - 34,0
2011,F,SECONDARY,30 - 34,0
2011,MF,SECONDARY,35 - 39,23
2011,F,SECONDARY,35 - 39,9
2011,MF,SECONDARY,40 - 44,37
2011,F,SECONDARY,40 - 44,14
2011,MF,SECONDARY,45 - 49,25
2011,F,SECONDARY,45 - 49,15
2011,MF,SECONDARY,50 - 54,49
2011,F,SECONDARY,50 - 54,32
2011,MF,SECONDARY,55 & ABOVE,26
2011,F,SECONDARY,55 & ABOVE,12
2012,MF,PRE-UNIVERSITY,30 - 34,0
2012,F,PRE-UNIVERSITY,30 - 34,0
2012,MF,PRE-UNIVERSITY,35 - 39,0
2012,F,PRE-UNIVERSITY,35 - 39,0
2012,MF,PRE-UNIVERSITY,40 - 44,1
2012,F,PRE-UNIVERSITY,40 - 44,0
2012,MF,PRE-UNIVERSITY,45 - 49,2
2012,F,PRE-UNIVERSITY,45 - 49,2
2012,MF,PRE-UNIVERSITY,50 - 54,8
2012,F,PRE-UNIVERSITY,50 - 54,4
2012,MF,PRE-UNIVERSITY,55 & ABOVE,7
2012,F,PRE-UNIVERSITY,55 & ABOVE,5
2012,MF,PRIMARY,30 - 34,0
2012,F,PRIMARY,30 - 34,0
2012,MF,PRIMARY,35 - 39,11
2012,F,PRIMARY,35 - 39,7
2012,MF,PRIMARY,40 - 44,48
2012,F,PRIMARY,40 - 44,32
2012,MF,PRIMARY,45 - 49,37
2012,F,PRIMARY,45 - 49,30
2012,MF,PRIMARY,50 - 54,53
2012,F,PRIMARY,50 - 54,37
2012,MF,PRIMARY,55 & ABOVE,35
2012,F,PRIMARY,55 & ABOVE,31
2012,MF,SECONDARY,30 - 34,0
2012,F,SECONDARY,30 - 34,0
2012,MF,SECONDARY,35 - 39,23
